param,value,units,sigma
V0,111.01968151191919,bohr^3/atom,0.0657593698339715
a0,4.037269948577289,Angstrom,0.0007971209070095376
B0,76.20416189408091,GPa,0.296804198221358
B',4.829858622165065,,0.031926214663403764
E0,-39.502655350340845,Ry/atom,5.339803558880098e-05
RMS,1.4777055893130118,meV/atom,
